"","parameter","mean","se_mean","sd","2.5%","10%","25%","50%","75%","90%","97.5%","n_eff","Rhat","model","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic","neigh"
"124","sigma...16",0.0704848601929575,5.96127563846471e-06,0.000161644322690633,0.0701759165053691,0.070269770913722,0.0703752380203634,0.0704886775016168,0.0705927576002051,0.0706961884502819,0.0708008108502254,735.262649885871,1.00079966630683,"interaction_stan_int",0,0,113467.007689766,472.626926440579,10.535546556526,0.330780626814335,-226934.015379532,945.253852881159,"gentianaceae"
"125","mean_PPD...17",0.0115834169412714,8.97203395388943e-06,0.000321769823412018,0.0109403846880451,0.011182116530787,0.0113727091487557,0.0115756543710307,0.0118047218922752,0.0119859146707246,0.0122622104347717,1286.20089487438,1.00254634625581,"interaction_stan_int",0,0,113467.007689766,472.626926440579,10.535546556526,0.330780626814335,-226934.015379532,945.253852881159,"gentianaceae"
"126","log-posterior...18",113467.597429973,0.0869470449437215,1.58464415335147,113463.715408874,113465.453377734,113466.738470196,113467.92326942,113468.776705287,113469.369763532,113469.720869111,332.164987342509,1.01711798544905,"interaction_stan_int",0,0,113467.007689766,472.626926440579,10.535546556526,0.330780626814335,-226934.015379532,945.253852881159,"gentianaceae"
"127","(Intercept)...1",-0.415683623814162,9.34693930402056e-06,0.000321804581884195,-0.416348986039591,-0.416086485710559,-0.415898466049188,-0.41568842134523,-0.415460168951758,-0.415276810290442,-0.415040940031268,1185.34726398479,0.998301240200326,"interaction_stan_0",-62.9014353935802,16.0556552679049,128643.279340478,486.552972436292,9.02037694261219,0.325570370453342,-257286.558680955,973.105944872584,"plantaginaceae"
"128","density...2",-0.591740890789754,2.08363260778235e-05,0.000679225487837636,-0.593050044609616,-0.592615120888704,-0.592233643860977,-0.591756960035184,-0.591266189547782,-0.590866320639241,-0.590406588740401,1062.63877297197,0.999143340396859,"interaction_stan_0",-62.9014353935802,16.0556552679049,128643.279340478,486.552972436292,9.02037694261219,0.325570370453342,-257286.558680955,973.105944872584,"plantaginaceae"
"129","sigma...3",0.066836937948544,8.63742567885386e-06,0.000144477866923175,0.0665365160462993,0.0666472908787113,0.0667487524227206,0.0668434695283917,0.0669252324417174,0.0670156071815518,0.0671065953069976,279.791164078287,1.00996855609335,"interaction_stan_0",-62.9014353935802,16.0556552679049,128643.279340478,486.552972436292,9.02037694261219,0.325570370453342,-257286.558680955,973.105944872584,"plantaginaceae"
"130","mean_PPD...4",-0.20931648260209,7.40154576513782e-06,0.000289015967084616,-0.20986371239788,-0.209692498016233,-0.209511586774242,-0.209320526510512,-0.209114558998664,-0.208935312055724,-0.208761471693157,1524.75060943865,1.00049632041713,"interaction_stan_0",-62.9014353935802,16.0556552679049,128643.279340478,486.552972436292,9.02037694261219,0.325570370453342,-257286.558680955,973.105944872584,"plantaginaceae"
"131","log-posterior...5",128644.472530145,0.0675345649368275,1.15213789645149,128641.463369071,128642.842961262,128643.983824949,128644.764618736,128645.310320309,128645.627922178,128645.813499515,291.042700011611,0.999903651392704,"interaction_stan_0",-62.9014353935802,16.0556552679049,128643.279340478,486.552972436292,9.02037694261219,0.325570370453342,-257286.558680955,973.105944872584,"plantaginaceae"
"132","(Intercept)...6",-0.4155952361749,8.44079972662879e-06,0.000324029388471909,-0.416239565309238,-0.416019703925949,-0.41581395824684,-0.415591649379656,-0.415378673176042,-0.415184802389758,-0.414956602002393,1473.67464158617,0.999749530618956,"interaction_stan_psi",-47.6504460151523,12.288622362978,128658.530329871,486.619751639652,10.4064545777891,0.35425804605454,-257317.060659741,973.239503279303,"plantaginaceae"
"133","density...7",-0.590874164144347,1.83212116722929e-05,0.000710813293697131,-0.592270998706879,-0.591775540818877,-0.591367302911702,-0.590874931956671,-0.590387582021842,-0.58994982541379,-0.589492436003772,1505.22942036588,0.998702199980634,"interaction_stan_psi",-47.6504460151523,12.288622362978,128658.530329871,486.619751639652,10.4064545777891,0.35425804605454,-257317.060659741,973.239503279303,"plantaginaceae"
"134","spain_pdsi...8",-0.000544727211457885,2.61256188140515e-06,9.44239802713387e-05,-0.000731574350737906,-0.000662380934228813,-0.000610874526628146,-0.000547493335358294,-0.000482309628315224,-0.000424571980096471,-0.000353254048696364,1306.26543385445,1.00052953149537,"interaction_stan_psi",-47.6504460151523,12.288622362978,128658.530329871,486.619751639652,10.4064545777891,0.35425804605454,-257317.060659741,973.239503279303,"plantaginaceae"
"135","sigma...9",0.0668353729922705,9.62720358681507e-06,0.000153726738044579,0.0665312936907043,0.0666360724340815,0.0667302872103794,0.0668381912157686,0.0669410765196941,0.067029661197864,0.0671346523394548,254.975535114497,1.01606592505062,"interaction_stan_psi",-47.6504460151523,12.288622362978,128658.530329871,486.619751639652,10.4064545777891,0.35425804605454,-257317.060659741,973.239503279303,"plantaginaceae"
"136","mean_PPD...10",-0.209325119886427,7.55712402816979e-06,0.000300108835045363,-0.209910512787637,-0.209715565931091,-0.209534084716664,-0.20931992619964,-0.209115834112356,-0.208933727445255,-0.208766548621279,1577.04636640524,1.00021187758652,"interaction_stan_psi",-47.6504460151523,12.288622362978,128658.530329871,486.619751639652,10.4064545777891,0.35425804605454,-257317.060659741,973.239503279303,"plantaginaceae"
"137","log-posterior...11",128659.485632026,0.0623567431030713,1.36915792081941,128656.211744521,128657.536726612,128658.743386137,128659.80785537,128660.5261833,128660.969369896,128661.261106001,482.103449260384,1.00380369513406,"interaction_stan_psi",-47.6504460151523,12.288622362978,128658.530329871,486.619751639652,10.4064545777891,0.35425804605454,-257317.060659741,973.239503279303,"plantaginaceae"
"138","(Intercept)...12",-0.414629109430611,9.23616049474732e-06,0.000329688111047662,-0.415281590315986,-0.415045991949532,-0.414851746268151,-0.414615823262574,-0.414405721814268,-0.414213719488212,-0.413991675883389,1274.15901283346,0.999161714890641,"interaction_stan_int",0,0,128706.180775898,486.24162605469,11.5004642726391,0.34386827760547,-257412.361551795,972.48325210938,"plantaginaceae"
"139","density...13",-0.589437042741809,2.0043191473735e-05,0.000711699270333189,-0.590764305928712,-0.590334948214862,-0.589933192052614,-0.589432075106588,-0.588974078395901,-0.588494456002492,-0.588012641670795,1260.83800308858,1.00038068945668,"interaction_stan_int",0,0,128706.180775898,486.24162605469,11.5004642726391,0.34386827760547,-257412.361551795,972.48325210938,"plantaginaceae"
"140","spain_pdsi...14",-0.00184895692812752,5.97606132640028e-06,0.000167669094750112,-0.00218728670297412,-0.00206066081156518,-0.00195971001051695,-0.00185014557105399,-0.001742926993184,-0.00163716689125503,-0.00149949162531598,787.183437762887,0.998417595338975,"interaction_stan_int",0,0,128706.180775898,486.24162605469,11.5004642726391,0.34386827760547,-257412.361551795,972.48325210938,"plantaginaceae"
"141","density:spain_pdsi",-0.00330978355848989,1.25060177600874e-05,0.000356002152412427,-0.00400573537021889,-0.00376407333344293,-0.00355741204970407,-0.00331691673774533,-0.00307552780213101,-0.00284319009326896,-0.00259186560198994,810.339791460707,0.998282238318549,"interaction_stan_int",0,0,128706.180775898,486.24162605469,11.5004642726391,0.34386827760547,-257412.361551795,972.48325210938,"plantaginaceae"
"142","sigma...16",0.0667980114809471,7.59439588095291e-06,0.000148674365883947,0.0665089931097809,0.0666104625263142,0.066698436035634,0.0668018032821426,0.0669030770320775,0.0669910886716636,0.0670777570653949,383.253142958975,1.00442600987194,"interaction_stan_int",0,0,128706.180775898,486.24162605469,11.5004642726391,0.34386827760547,-257412.361551795,972.48325210938,"plantaginaceae"
"143","mean_PPD...17",-0.209324049652861,7.95738444114366e-06,0.000297883709297436,-0.20988583772404,-0.209693161186378,-0.209538469979199,-0.209324133675807,-0.209128183814703,-0.208938297975003,-0.208724041725431,1401.37003013259,0.998974527749843,"interaction_stan_int",0,0,128706.180775898,486.24162605469,11.5004642726391,0.34386827760547,-257412.361551795,972.48325210938,"plantaginaceae"
"144","log-posterior...18",128706.778313396,0.0799651474949676,1.656870606382,128702.727774953,128704.539298721,128705.930782826,128707.133986278,128708.006788522,128708.558641782,128708.9267921,429.314643019753,1.01386971829698,"interaction_stan_int",0,0,128706.180775898,486.24162605469,11.5004642726391,0.34386827760547,-257412.361551795,972.48325210938,"plantaginaceae"
"145","(Intercept)...1",-0.314367718652192,2.0465688542298e-05,0.000779458182366357,-0.315840385139917,-0.315328815681715,-0.314902286257813,-0.314409628105742,-0.313834842455063,-0.31335209783716,-0.312799301806802,1450.55072280714,1.00106945563384,"interaction_stan_0",-20544.940331193,120.079247557246,-140524.884500589,1095.12697353591,8.32247343064951,0.0862206030817119,281049.769001177,2190.25394707183,"poaceae"
"146","density...2",-0.267339004910114,1.64099933502073e-05,0.000482703827144401,-0.268274867288565,-0.267945024298827,-0.267694650331457,-0.267336586183506,-0.266992133883043,-0.266724410426146,-0.266374225205949,865.256108898496,1.00089425917287,"interaction_stan_0",-20544.940331193,120.079247557246,-140524.884500589,1095.12697353591,8.32247343064951,0.0862206030817119,281049.769001177,2190.25394707183,"poaceae"
"147","sigma...3",0.379617111552371,1.848469133435e-05,0.000460349320701407,0.378743847746775,0.379050042177725,0.379320726018545,0.379607197141431,0.379920878373631,0.380202860770316,0.380511084209775,620.226913177891,1.00206579923433,"interaction_stan_0",-20544.940331193,120.079247557246,-140524.884500589,1095.12697353591,8.32247343064951,0.0862206030817119,281049.769001177,2190.25394707183,"poaceae"
"148","mean_PPD...4",-0.548939967797825,2.5158560435973e-05,0.000954652442453533,-0.550692896629711,-0.550191274561108,-0.549570363897131,-0.548946840756924,-0.548286221465204,-0.5477220443001,-0.547102761709533,1439.85580427441,1.00056079127158,"interaction_stan_0",-20544.940331193,120.079247557246,-140524.884500589,1095.12697353591,8.32247343064951,0.0862206030817119,281049.769001177,2190.25394707183,"poaceae"
"149","log-posterior...5",-140523.783378069,0.0412686473644903,1.13120575984145,-140526.747099757,-140525.310164258,-140524.273438082,-140523.492993562,-140522.941570033,-140522.677702059,-140522.506935489,751.350788522023,1.00508666382593,"interaction_stan_0",-20544.940331193,120.079247557246,-140524.884500589,1095.12697353591,8.32247343064951,0.0862206030817119,281049.769001177,2190.25394707183,"poaceae"
"150","(Intercept)...6",-0.285347134429766,1.8824330517123e-05,0.000762195262050387,-0.286830588117443,-0.286339638831938,-0.285865433150756,-0.285350038806128,-0.284817929493417,-0.284365075403332,-0.283864419635622,1639.4320099475,0.99852173405249,"interaction_stan_psi",-154.161571247225,12.8075695687118,-120134.105740669,1013.23562545871,10.0809272857976,0.104043634889966,240268.211481338,2026.47125091743,"poaceae"
"151","density...7",-0.28722358664018,9.74610710903434e-06,0.000485874098697784,-0.288199602170659,-0.287854740156904,-0.287546700957327,-0.28721186492593,-0.286890144487767,-0.286623754368375,-0.286300866737606,2485.33614624484,0.998438624333445,"interaction_stan_psi",-154.161571247225,12.8075695687118,-120134.105740669,1013.23562545871,10.0809272857976,0.104043634889966,240268.211481338,2026.47125091743,"poaceae"
