Project.ID,Plant.ID,species,sample.number,sla.mm2.mg,mean.seed.mass.mg,seed.notes,height.mm,width.longest.mm,width.90.from.longest.mm,leaf.area.mm2,leaf.wet.mass.mg,leaf.dry.mass.mg,aboverground.biomass.mg,number.buds,number.flowers,number.seeds,C13.plant.permill,delta.C13.discrimination.permill,C13.notes,root.dry.mass.mg,root.wet.mass.mg,root.volume.less.than.0.5mm.diameter.mm3,root.length.less.than.0.5mm.diameter.mm3,total.root.volume.cm3,total.root.length.cm,number.of.root.tips,root.length.per.volume.cm.m3,root.notes,stem.wet.mass.mg,stem.dry.mass.mg,stem.diameter.1.mm,stem.diameter.2.mm,stem.length
COEX.1,Daucus glochidiatus.10.E,Daucus glochidiatus,1,9.954896907,NA,,185,98,52,30.9,NA,3.104,45.1,NA,NA,NA,-29.16783544,21.80380524,NA,,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
COEX.1,Daucus glochidiatus.10.E,Daucus glochidiatus,2,NA,NA,,NA,NA,NA,NA,NA,10.052,45.1,NA,NA,NA,-29.16783544,21.80380524,NA,,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
COEX.1,Daucus glochidiatus.11.C,Daucus glochidiatus,1,11.17021277,NA,,18,47,38,8.4,NA,0.752,8.3,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
COEX.1,Daucus glochidiatus.11.E,Daucus glochidiatus,1,NA,NA,,44,13,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
COEX.1,Daucus glochidiatus.12.C,Daucus glochidiatus,1,NA,NA,,94,52,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
COEX.1,Daucus glochidiatus.12.E,Daucus glochidiatus,1,NA,NA,,61,43,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
COEX.1,Daucus glochidiatus.13.C,Daucus glochidiatus,1,14.08296943,NA,,225,81,62,51.6,NA,3.664,275,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
COEX.1,Daucus glochidiatus.13.E,Daucus glochidiatus,1,14.14012739,NA,,124,56,47,44.4,NA,3.14,102.8,NA,NA,NA,-29.97272211,22.65165384,NA,,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
COEX.1,Daucus glochidiatus.14.C,Daucus glochidiatus,1,12.79713448,NA,,300,100,71,78.6,NA,6.142,300.7,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
COEX.1,Daucus glochidiatus.14.E,Daucus glochidiatus,1,14.07114625,NA,,126,65,40,71.2,NA,5.06,62.6,NA,NA,NA,-30.96160901,23.69525214,NA,,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
COEX.1,Daucus glochidiatus.15.C,Daucus glochidiatus,1,10.05376344,NA,,102,49,32,56.1,NA,5.58,79.5,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
COEX.1,Daucus glochidiatus.15.E,Daucus glochidiatus,1,14.93320611,NA,,152,101,89,125.2,NA,8.384,269.1,NA,NA,NA,-28.74052685,21.35425952,NA,,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
COEX.1,Daucus glochidiatus.16.C,Daucus glochidiatus,1,15.75716235,NA,,103,86,59,23.1,NA,1.466,34.4,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
COEX.1,Daucus glochidiatus.16.E,Daucus glochidiatus,1,5.674609978,NA,,91,86,53,66.2,NA,11.666,184.4,NA,NA,NA,-28.70601736,21.31797142,NA,,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
COEX.1,Daucus glochidiatus.2.C,Daucus glochidiatus,1,22.52858104,NA,,101,64,36,67,NA,2.974,24,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
COEX.1,Daucus glochidiatus.2.E,Daucus glochidiatus,1,12.52891288,NA,,129,61,32,97.5,NA,7.782,98.9,NA,NA,NA,-29.31588001,21.95964637,NA,,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
COEX.1,Daucus glochidiatus.3.C,Daucus glochidiatus,1,12.93491609,NA,,121,58,32,63.2,NA,4.886,73.4,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
COEX.1,Daucus glochidiatus.3.E,Daucus glochidiatus,1,16.80999181,NA,,131,47,31,82.1,NA,4.884,142.4,NA,NA,NA,-29.46682793,22.1185927,NA,,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
COEX.1,Daucus glochidiatus.4.C,Daucus glochidiatus,1,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
COEX.1,Daucus glochidiatus.4.E,Daucus glochidiatus,1,11.79791137,NA,,84,121,13,83.6,NA,7.086,103.5,NA,NA,NA,-28.63415808,21.2424168,NA,,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
COEX.1,Daucus glochidiatus.4.E,Daucus glochidiatus,2,NA,NA,,NA,NA,NA,NA,NA,3.48,103.5,NA,NA,NA,-28.63415808,21.2424168,NA,,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
COEX.1,Daucus glochidiatus.5.C,Daucus glochidiatus,1,16.65012407,NA,,93,41,33,67.1,NA,4.03,28.7,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
COEX.1,Daucus glochidiatus.5.E,Daucus glochidiatus,1,15.4185022,NA,,98,30,30,63,NA,4.086,36,NA,NA,NA,-30.3261646,23.02440654,NA,,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
COEX.1,Daucus glochidiatus.6.C,Daucus glochidiatus,1,12.04819277,NA,,82,15,10,28,NA,2.324,43.7,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
COEX.1,Daucus glochidiatus.6.E,Daucus glochidiatus,1,10.35123967,NA,,124,50,40,50.1,NA,4.84,148.3,NA,NA,NA,-28.75115303,21.36543389,NA,,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
COEX.1,Daucus glochidiatus.7.C,Daucus glochidiatus,1,10.82238721,NA,,115,32,22,75.8,NA,7.004,93.6,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
COEX.1,Daucus glochidiatus.7.E,Daucus glochidiatus,1,NA,NA,,51,23,20,NA,NA,NA,36.6,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
COEX.1,Daucus glochidiatus.8.C,Daucus glochidiatus,1,16.85342896,NA,,213,98,36,75.2,NA,4.462,116.5,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
COEX.1,Daucus glochidiatus.8.E,Daucus glochidiatus,1,12.12662338,NA,,186,90,67,74.7,NA,6.16,284,NA,NA,NA,-28.50999569,21.11189574,NA,,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
COEX.1,Daucus glochidiatus.9.C,Daucus glochidiatus,1,17.02993697,NA,,255,92,39,129.7,NA,7.616,261.2,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
COEX.1,Daucus glochidiatus.9.E,Daucus glochidiatus,1,12.2497455,NA,,251,82,42,72.2,NA,5.894,237.4,NA,NA,NA,-29.81649325,22.48697601,NA,,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
