unique_id,seed,focal,code,site,treatment
PE_CL_6_9_PEAI,30,Pentameris airoides,PEAI,PE,CL
PE_CL_6_10_PEAI,14,Pentameris airoides,PEAI,PE,CL
PE_CL_6_11_PEAI,36,Pentameris airoides,PEAI,PE,CL
PE_CL_6_12_PEAI,38,Pentameris airoides,PEAI,PE,CL
PE_CL_6_13_PEAI,24,Pentameris airoides,PEAI,PE,CL
PE_CL_6_e3_TRCY,16,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_6_e2_TRCY,4,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_6_e1_TRCY,16,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_6_e4_TRCY,4,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_6_e5_TRCY,2,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_7_1_GORO,4,Goodenia rosea,GORO,PE,CL
PE_CL_7_2_GORO,0,Goodenia rosea,GORO,PE,CL
PE_CL_7_3_GORO,3,Goodenia rosea,GORO,PE,CL
PE_CL_7_4_GORO,0,Goodenia rosea,GORO,PE,CL
PE_CL_7_5_GORO,4,Goodenia rosea,GORO,PE,CL
PE_CL_7_7_GORO,3,Goodenia rosea,GORO,PE,CL
PE_CL_7_8_GOOC,2,Goodenia occidentalis,GOOC,PE,CL
PE_CL_7_9_GORO,6,Goodenia rosea,GORO,PE,CL
PE_CL_7_11_GORO,5,Goodenia rosea,GORO,PE,CL
PE_CL_7_13_GORO,1,Goodenia rosea,GORO,PE,CL
PE_CL_7_14_GORO,2,Goodenia rosea,GORO,PE,CL
PE_CL_7_15_GORO,2,Goodenia rosea,GORO,PE,CL
PE_CL_7_1_TRCY,2,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_7_3_TRCY,6,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_7_4_TRCY,2,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_7_5_TRCY,2,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_7_6_TRCY,2,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_7_7_TRCY,4,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_7_8_TRCY,4,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_7_9_TRCY,2,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_7_10_TRCY,4,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_7_12_TRCY,4,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_7_13_TRCY,6,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_7_14_TRCY,4,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_7_16_TRCY,2,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_7_17_TRCY,4,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_7_18_TRCY,2,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_7_19_TRCY,4,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_7_20_TRCY,4,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_7_21_TRCY,14,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_7_22_TRCY,2,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_7_23_TRCY,10,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_7_24_TRCY,2,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_7_25_TRCY,2,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_7_26_TRCY,4,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_7_27_TRCY,2,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_7_28_TRCY,2,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_7_29_TRCY,2,Trachymene cyanopetala,TRCY,PE,CL
