plot,treatment,focal,id.focal,seed,year,reserve
2A,0,HYGL,357,NA,2017,perenjori
2A,0,HYGL,221,9,2017,perenjori
3B,1,CRAS,7,NA,2017,perenjori
3A,0,HYGL,5,0,2017,perenjori
7A,0,CHPS,2,NA,2017,perenjori
3A,0,PEAI,3,0,2017,perenjori
2B,1,UNKNOWN,9,NA,2017,perenjori
2A,0,HYGL,200,NA,2017,perenjori
7B,1,POMU,7,NA,2017,perenjori
1A,0,PEDU,2,1,2017,perenjori
2A,0,HYGL,265,NA,2017,perenjori
3A,0,UNKNOWN,G2,NA,2017,perenjori
9A,0,POMU,64,NA,2017,perenjori
7B,1,POMU,2,NA,2017,perenjori
2A,0,HYGL,195,0,2017,perenjori
2A,0,HYGL,305,7,2017,perenjori
7A,0,CHPS,7,NA,2017,perenjori
8A,0,CRAS,13,NA,2017,perenjori
2A,0,HYGL,141,7,2017,perenjori
7B,1,CHPS,4,NA,2017,perenjori
2A,0,HYGL,196,9,2017,perenjori
7B,1,POMU,11,NA,2017,perenjori
7A,0,POMU,42,NA,2017,perenjori
2A,0,HYGL,199,8,2017,perenjori
2A,0,HYGL,266,NA,2017,perenjori
7B,1,CRAS,1,NA,2017,perenjori
2B,1,HYGL,44,0,2017,perenjori
8A,0,POMU,7,NA,2017,perenjori
9B,1,POMU,130,NA,2017,perenjori
2A,0,HYGL,136,6,2017,perenjori
2A,0,HYGL,282,NA,2017,perenjori
6A,0,POMU,8,NA,2017,perenjori
3B,1,CHPS,4,NA,2017,perenjori
3A,0,CHPS,19,NA,2017,perenjori
7A,0,CHPS,3,NA,2017,perenjori
7A,0,POMU,39,NA,2017,perenjori
3A,0,CHPS,20,NA,2017,perenjori
2A,0,HYGL,167,2,2017,perenjori
3A,0,UNKNOWN,22,NA,2017,perenjori
2A,0,HYGL,161,9,2017,perenjori
3B,1,CHPS,5,NA,2017,perenjori
2A,0,HYGL,379,NA,2017,perenjori
2B,1,PLDE,14,NA,2017,perenjori
2A,0,HYGL,140,4,2017,perenjori
8B,1,PTGA,9,3,2017,perenjori
2A,0,HYGL,380,NA,2017,perenjori
2A,0,HYGL,352,8,2017,perenjori
7A,0,POMU,18,NA,2017,perenjori
3A,0,CHPS,16,NA,2017,perenjori
2A,0,HYGL,347,4,2017,perenjori
2A,0,HYGL,258,19,2017,perenjori
3B,1,CHPS,7,NA,2017,perenjori
2A,0,HYGL,325,8,2017,perenjori
2B,1,HYGL,38,4,2017,perenjori
3A,0,HYGL,18,2,2017,perenjori
3A,0,CHPS,2,NA,2017,perenjori
2A,0,HYGL,137,14,2017,perenjori
2A,0,HYGL,343,NA,2017,perenjori
2A,0,HYGL,361,NA,2017,perenjori
6B,1,PEAI,101,NA,2017,perenjori
3A,0,HYGL,9,5,2017,perenjori
2A,0,HYGL,302,5,2017,perenjori
2A,0,HYGL,312,NA,2017,perenjori
5B,1,CHPS,29,NA,2017,perenjori
3B,1,CHPS,12,NA,2017,perenjori
2B,1,HYGL,74,15,2017,perenjori
8A,0,POMU,9,NA,2017,perenjori
2A,0,BRPE,36,NA,2017,perenjori
2B,1,HYGL,76,5,2017,perenjori
9B,1,POMU,69,NA,2017,perenjori
5B,1,VERO,104,0,2017,perenjori
4A,0,PTGA,7,NA,2017,perenjori
2A,0,PEAI,54,NA,2017,perenjori
2A,0,HYGL,328,NA,2017,perenjori
7A,0,POMU,52,NA,2017,perenjori
1A,0,PEDU,1,0,2017,perenjori
2A,0,HYGL,225,3,2017,perenjori
2A,0,HYGL,178,5,2017,perenjori
9A,0,POMU,12,NA,2017,perenjori
2B,1,HYGL,37,2,2017,perenjori
2A,0,HYGL,162,4,2017,perenjori
2A,0,HYGL,144,12,2017,perenjori
3A,0,UNKNOWN,F18,8,2017,perenjori
3A,0,HYGL,16,7,2017,perenjori
2A,0,HYGL,326,NA,2017,perenjori
2A,0,PEAI,56,NA,2017,perenjori
2B,1,HYGL,11,2,2017,perenjori
2A,0,HYGL,189,3,2017,perenjori
2A,0,HYGL,334,NA,2017,perenjori
3A,0,HYGL,8,NA,2017,perenjori
2A,0,HYGL,396,0,2017,perenjori
1B,1,PEAI,193,NA,2017,perenjori
3A,0,HYGL,1,5,2017,perenjori
2A,0,HYGL,180,11,2017,perenjori
2A,0,PEAI,58,NA,2017,perenjori
2A,0,HYGL,208,8,2017,perenjori
4A,0,PTGA,8,NA,2017,perenjori
2B,1,PLDE,11,0,2017,perenjori
8A,0,CAHI,1,4,2017,perenjori
2A,0,HYGL,368,13,2017,perenjori
2A,0,PEAI,67,NA,2017,perenjori
6A,0,PEAI,6,NA,2017,perenjori
2B,1,UNKNOWN,13,NA,2017,perenjori
1B,1,UNK,FB,NA,2017,perenjori
3A,0,CRAS,6,NA,2017,perenjori
2A,0,HYGL,168,12,2017,perenjori
2A,0,HYGL,383,NA,2017,perenjori
7B,1,POMU,25,NA,2017,perenjori
9A,0,PEAI,6,0,2017,perenjori
6A,0,POMU,4,NA,2017,perenjori
2A,0,HYGL,382,NA,2017,perenjori
2B,1,HYGL,73,24,2017,perenjori
6A,0,POMU,6,NA,2017,perenjori
7B,1,POMU,26,NA,2017,perenjori
2A,0,HYGL,303,NA,2017,perenjori
9A,0,POMU,10,NA,2017,perenjori
4A,0,PTGA,3,NA,2017,perenjori
2A,0,HYGL,227,0,2017,perenjori
3A,0,POLE,4,NA,2017,perenjori
2A,0,HYGL,309,NA,2017,perenjori
2A,0,HYGL,327,13,2017,perenjori
4A,0,PTGA,12,0,2017,perenjori
1B,1,UNK,FB,NA,2017,perenjori
10B,1,POCA,2,0,2017,perenjori
7A,0,POMU,35,NA,2017,perenjori
7B,1,POMU,37,NA,2017,perenjori
2A,0,HYGL,166,NA,2017,perenjori
2A,0,HYGL,295,8,2017,perenjori
2A,0,HYGL,242,10,2017,perenjori
3A,0,PEAI,2,2,2017,perenjori
2A,0,HYGL,146,1,2017,perenjori
2B,1,HYGL,20,12,2017,perenjori
2A,0,HYGL,369,11,2017,perenjori
9B,1,POMU,116,NA,2017,perenjori
7A,0,CHPS,10,NA,2017,perenjori
2B,1,HYGL,64,0,2017,perenjori
9B,1,POMU,179,NA,2017,perenjori
7A,0,POMU,9,NA,2017,perenjori
3A,0,HYGL,3,13,2017,perenjori
2B,1,HYGL,57,4,2017,perenjori
2A,0,HYGL,378,NA,2017,perenjori
7B,1,PEAI,12,0,2017,perenjori
2A,0,HYGL,297,NA,2017,perenjori
5B,1,CHPS,31,NA,2017,perenjori
7B,1,CHPS,2,NA,2017,perenjori
2B,1,HYGL,8,12,2017,perenjori
2A,0,HYGL,358,NA,2017,perenjori
1B,1,UNK,FB,NA,2017,perenjori
2B,1,HYGL,22,4,2017,perenjori
2A,0,HYGL,160,31,2017,perenjori
2A,0,HYGL,155,NA,2017,perenjori
7B,1,POMU,17,NA,2017,perenjori
2A,0,HYGL,135,NA,2017,perenjori
2A,0,HYGL,143,8,2017,perenjori
2A,0,HYGL,158,18,2017,perenjori
7A,0,CHPS,8,NA,2017,perenjori
5B,1,VERO,99,5,2017,perenjori
2B,1,HYGL,21,10,2017,perenjori
2B,1,UNKNOWN,12,NA,2017,perenjori
